id,target_asset,direction,impact_score,confidence,label,reason
cnib-v1-0034,BNB,neutral,10,85,N10,整体看，交易所消息只间接牵到BNB，影响偏弱，影响有限。
cnib-v1-0035,MET,neutral,5,85,N5,这里主要是名称撞车，与MET走势关系很弱。
cnib-v1-0036,TAG,neutral,10,85,N10,整体看，新闻主线不在TAG，交易影响更偏边缘，影响有限。
cnib-v1-0037,XRP,long,78,85,L78,ETF相关进展改善预期，对XRP形成中等支撑。
cnib-v1-0038,XRP,long,82,85,L82,监管认可度抬升，给XRP带来较强正面重估。
cnib-v1-0039,ONDO,long,82,85,L82,监管认可度抬升，给ONDO带来较强正面重估。
cnib-v1-0040,ETH,long,82,85,L82,ETF进展打开机构入口，对ETH提振力度较强。
cnib-v1-0041,IN,neutral,10,85,N10,整体看，资金流向集中在比特币，未明显落到IN，影响有限。
cnib-v1-0042,BTC,short,72,85,S72,抛压和清算集中出现，对BTC形成较强压制。
cnib-v1-0043,BTC,short,72,85,S72,抛压和清算集中出现，对BTC形成较强压制。
cnib-v1-0044,BTC,short,78,85,S78,整体看，大额卖出放大供给压力，对BTC偏空，影响有限。
cnib-v1-0045,MLN,neutral,2,85,N2,整体看，新闻主线不在MLN，交易影响更偏边缘，影响有限。
cnib-v1-0046,BTC,short,72,85,S72,抛压和清算集中出现，对BTC形成较强压制。
cnib-v1-0047,BTC,short,72,85,S72,抛压和清算集中出现，对BTC形成较强压制。
cnib-v1-0048,SOL,long,82,85,L82,升级改善网络能力，对SOL基本面支撑较强。
cnib-v1-0049,INJ,long,82,85,L82,新资产场景扩展生态用途，对INJ偏强利好。
cnib-v1-0050,UNI,long,88,85,L88,整体看，供给收缩叠加价值回流，明显利好UNI，影响有限。
cnib-v1-0051,BTC,long,72,85,L72,机构采用信号明确，对BTC需求预期支撑较强。
cnib-v1-0052,JUP,long,82,85,L82,机构采用信号明确，对JUP需求预期支撑较强。
cnib-v1-0053,BOT,neutral,5,85,N5,这里主要是名称撞车，与BOT走势关系很弱。
cnib-v1-0054,US,neutral,5,85,N5,整体看，事件偏宏观背景，对US本身影响很有限，影响有限。
cnib-v1-0055,BTC,neutral,2,85,N2,事件偏宏观背景，对BTC本身影响很有限。
cnib-v1-0056,BANK,neutral,5,85,N5,宏观或商品线索较远，对BANK只是背景影响。
cnib-v1-0057,POWER,neutral,5,85,N5,这条消息与POWER关联较弱，更像市场背景。
cnib-v1-0058,MOVE,neutral,8,85,N8,宏观或商品线索较远，对MOVE只是背景影响。
cnib-v1-0059,VIRTUAL,neutral,5,85,N5,新闻主线不在VIRTUAL，交易影响更偏边缘。
cnib-v1-0060,XYZ-CL,neutral,10,85,N10,宏观或商品线索较远，对XYZ-CL只是背景影响。
cnib-v1-0061,AMP,neutral,4,85,N4,事件偏宏观背景，对AMP本身影响很有限。
cnib-v1-0062,BTC,neutral,2,85,N2,事件偏宏观背景，对BTC本身影响很有限。
cnib-v1-0063,U,neutral,5,85,N5,整体看，事件偏宏观背景，对U本身影响很有限，影响有限。
cnib-v1-0064,W,neutral,5,85,N5,整体看，事件偏宏观背景，对W本身影响很有限，影响有限。
cnib-v1-0065,GAIN,neutral,5,85,N5,整体看，宏观汇率线索较远，对该币只是背景影响，影响有限。
cnib-v1-0066,CL,short,82,85,S82,整体看，负面催化压低风险偏好，对CL形成压力，影响有限。
cnib-v1-0067,UP,neutral,5,85,N5,整体看，新闻主线不在UP，交易影响更偏边缘，影响有限。
cnib-v1-0068,B,neutral,2,85,N2,整体看，这条消息与B关联较弱，更像市场背景，影响有限。
cnib-v1-0069,IOTA,neutral,5,85,N5,内容偏常规曝光，对IOTA定价推动不强。
cnib-v1-0070,PRIME,neutral,2,85,N2,这里主要是名称撞车，与PRIME走势关系很弱。
cnib-v1-0071,MLB-PIT-CHC-2026-04-10-TOTAL-7PT5,short,72,85,S72,盘口结算几乎指向小分，对大分持仓压力较重。
cnib-v1-0072,AMP,neutral,5,85,N5,整体看，新闻主线不在AMP，交易影响更偏边缘，影响有限。
cnib-v1-0073,QUICK,neutral,4,85,N4,这里主要是名称撞车，与QUICK走势关系很弱。
cnib-v1-0074,ON,neutral,5,85,N5,宏观或商品线索较远，对ON只是背景影响。
cnib-v1-0075,BEATS,neutral,5,85,N5,这里主要是名称撞车，与BEATS走势关系很弱。
cnib-v1-0076,BTC,neutral,5,85,N5,事件偏宏观背景，对BTC本身影响很有限。
cnib-v1-0077,STABLE,neutral,5,85,N5,新闻主线不在STABLE，交易影响更偏边缘。
cnib-v1-0078,BNB,long,88,82,L88,ETF进展打开机构入口，对BNB提振力度较强。
cnib-v1-0079,XRP,short,72,82,S72,申请撤回削弱机构入口预期，对XRP偏空。
cnib-v1-0080,TAO,long,78,82,L78,ETF相关进展改善预期，对TAO形成中等支撑。
cnib-v1-0081,UNI,long,88,82,L88,整体看，供给收缩叠加价值回流，明显利好UNI，影响有限。
cnib-v1-0082,DOGE,short,72,82,S72,抛压和清算集中出现，对DOGE形成较强压制。
cnib-v1-0083,BTC,long,72,82,L72,买盘和资金流改善，对BTC形成明显支撑。
cnib-v1-0084,BTC,long,72,82,L72,买盘和资金流改善，对BTC形成明显支撑。
cnib-v1-0085,LUNA2,short,72,82,S72,监管和法律叙事转弱，压制LUNA2风险偏好。
cnib-v1-0086,BTC,short,78,82,S78,抛压和清算集中出现，对BTC形成较强压制。
cnib-v1-0087,UNI,long,85,82,L85,整体看，供给收缩叠加价值回流，明显利好UNI，影响有限。
cnib-v1-0088,SOL,long,72,82,L72,机构采用信号明确，对SOL需求预期支撑较强。
cnib-v1-0089,NVDA,short,72,82,S72,整体看，安全风险升温，压制NVDA市场情绪，影响有限。
cnib-v1-0090,ARB,long,78,82,L78,治理响应及时，增强市场对ARB生态的信任。
cnib-v1-0091,ETH,long,72,80,L72,ETF相关进展改善预期，对ETH形成中等支撑。
cnib-v1-0092,BTC,long,72,80,L72,机构采用信号明确，对BTC需求预期支撑较强。
cnib-v1-0093,ETH,long,72,80,L72,ETF相关进展改善预期，对ETH形成中等支撑。
cnib-v1-0094,USDE,short,72,80,S72,负面催化压低风险偏好，对USDE形成压力。
cnib-v1-0095,UNI,long,72,80,L72,监管认可度抬升，给UNI带来较强正面重估。
cnib-v1-0096,XVS,long,72,80,L72,监管认可度抬升，给XVS带来较强正面重估。
cnib-v1-0097,BNB,long,62,78,L62,激励活动增加持有需求，对BNB有短线提振。
cnib-v1-0098,LTC,long,82,78,L82,监管认可度抬升，给LTC带来较强正面重估。
cnib-v1-0099,BNB,long,72,78,L72,监管认可度抬升，给BNB带来较强正面重估。
cnib-v1-0100,SOL,long,82,78,L82,机构采用信号明确，对SOL需求预期支撑较强。
cnib-v1-0101,ONDO,long,72,78,L72,ETF相关进展改善预期，对ONDO形成中等支撑。
cnib-v1-0102,ETH,long,72,78,L72,机构采用信号明确，对ETH需求预期支撑较强。
cnib-v1-0103,ETH,long,72,78,L72,ETF相关进展改善预期，对ETH形成中等支撑。
cnib-v1-0104,US,long,72,78,L72,监管认可度抬升，给US带来较强正面重估。
cnib-v1-0105,BTC,short,62,78,S62,整体看，快速下跌暴露卖压，对BTC短线偏空，影响有限。
cnib-v1-0106,TRUMP,short,72,78,S72,抛压和清算集中出现，对TRUMP形成较强压制。
cnib-v1-0107,ETH,long,82,78,L82,升级改善网络能力，对ETH基本面支撑较强。
cnib-v1-0108,LUNC,long,72,78,L72,供给收缩叠加价值回流，明显利好LUNC。
cnib-v1-0109,ETH,long,72,78,L72,升级改善网络能力，对ETH基本面支撑较强。
cnib-v1-0110,OP,long,72,78,L72,整体看，供给收缩叠加价值回流，明显利好OP，影响有限。
cnib-v1-0111,SOL,long,82,78,L82,机构采用信号明确，对SOL需求预期支撑较强。
cnib-v1-0112,BNB,long,62,78,L62,升级改善网络能力，对BNB基本面支撑较强。
cnib-v1-0113,BNB,long,72,78,L72,升级改善网络能力，对BNB基本面支撑较强。
cnib-v1-0114,BTC,long,72,78,L72,机构采用信号明确，对BTC需求预期支撑较强。
cnib-v1-0115,JUP,long,72,78,L72,机构采用信号明确，对JUP需求预期支撑较强。
cnib-v1-0116,BTC,long,72,78,L72,买盘和资金流改善，对BTC形成明显支撑。
cnib-v1-0117,BTC,long,72,78,L72,机构采用信号明确，对BTC需求预期支撑较强。
cnib-v1-0118,RAVE,short,62,78,S62,整体看，快速下跌暴露卖压，对RAVE短线偏空，影响有限。
cnib-v1-0119,BTC,long,72,78,L72,买盘和资金流改善，对BTC形成明显支撑。
cnib-v1-0120,SOL,long,72,75,L72,生态进展提升可见度，对SOL有中等支撑。
cnib-v1-0121,SNX,neutral,8,75,N8,整体看，内容偏常规曝光，对SNX定价推动不强，影响有限。
cnib-v1-0122,BTC,neutral,8,75,N8,整体看，内容偏常规曝光，对BTC定价推动不强，影响有限。
cnib-v1-0123,SOL,neutral,8,75,N8,整体看，内容偏常规曝光，对SOL定价推动不强，影响有限。
cnib-v1-0124,ETH,long,62,72,L62,消息改善市场预期，对ETH形成偏强支撑。
cnib-v1-0125,SOL,short,62,72,S62,整体看，安全风险升温，压制SOL市场情绪，影响有限。
cnib-v1-0126,ETH,short,62,72,S62,整体看，安全风险升温，压制ETH市场情绪，影响有限。
cnib-v1-0127,ETH,short,62,72,S62,整体看，安全风险升温，压制ETH市场情绪，影响有限。
cnib-v1-0128,NEAR,long,62,72,L62,生态进展提升可见度，对NEAR有中等支撑。
cnib-v1-0129,BTC,long,62,72,L62,ETF相关进展改善预期，对BTC形成中等支撑。
cnib-v1-0130,BTC,short,38,72,S38,整体看，大额卖出放大供给压力，对BTC偏空，影响有限。
cnib-v1-0131,BNB,long,62,72,L62,消息改善市场预期，对BNB形成偏强支撑。
cnib-v1-0132,BNB,long,62,72,L62,生态进展提升可见度，对BNB有中等支撑。
cnib-v1-0133,NEAR,long,62,72,L62,生态进展提升可见度，对NEAR有中等支撑。
cnib-v1-0134,ASTER,long,62,72,L62,生态进展提升可见度，对ASTER有中等支撑。
cnib-v1-0135,BR,neutral,5,72,N5,整体看，交易所消息只间接牵到BR，影响偏弱，影响有限。
cnib-v1-0136,ETH,long,62,72,L62,升级改善网络能力，对ETH基本面支撑较强。
cnib-v1-0137,KITE,long,62,72,L62,激励活动增加持有需求，对KITE有短线提振。
cnib-v1-0138,ETH,long,62,72,L62,升级改善网络能力，对ETH基本面支撑较强。
cnib-v1-0139,AVL,long,62,72,L62,空头拥挤提升反弹弹性，对AVL短线偏多。
cnib-v1-0140,MIRA,short,62,72,S62,整体看，快速下跌暴露卖压，对MIRA短线偏空，影响有限。
cnib-v1-0141,PLUME,long,62,72,L62,新资产场景扩展生态用途，对PLUME偏强利好。
cnib-v1-0142,NTRN,long,62,72,L62,空头拥挤提升反弹弹性，对NTRN短线偏多。
cnib-v1-0143,LINEA,long,62,72,L62,空头拥挤提升反弹弹性，对LINEA短线偏多。
cnib-v1-0144,STEEM,long,62,72,L62,空头拥挤提升反弹弹性，对STEEM短线偏多。
cnib-v1-0145,BTC-UPDOWN-15M-1776102300,neutral,4,72,N4,小额预测交易更像噪音，对比特币定价影响很轻。
cnib-v1-0146,AVL,long,62,72,L62,空头拥挤提升反弹弹性，对AVL短线偏多。
cnib-v1-0147,BLUR,long,62,72,L62,空头拥挤提升反弹弹性，对BLUR短线偏多。
cnib-v1-0148,BREV,short,42,72,S42,整体看，快速下跌暴露卖压，对BREV短线偏空，影响有限。
cnib-v1-0149,TRUMP,long,62,72,L62,监管认可度抬升，给TRUMP带来较强正面重估。
cnib-v1-0150,BNB,neutral,12,70,N12,整体看，交易所消息只间接牵到BNB，影响偏弱，影响有限。
cnib-v1-0151,ARB,long,62,70,L62,生态进展提升可见度，对ARB有中等支撑。
cnib-v1-0152,XRP,long,62,70,L62,ETF相关进展改善预期，对XRP形成中等支撑。
cnib-v1-0153,US,long,72,70,L72,整体看，消息改善市场预期，对US形成偏强支撑，影响有限。
cnib-v1-0154,ETH,short,62,70,S62,整体看，大额卖出放大供给压力，对ETH偏空，影响有限。
cnib-v1-0155,BNB,short,62,70,S62,整体看，快速下跌暴露卖压，对BNB短线偏空，影响有限。
cnib-v1-0156,SOL,long,62,70,L62,买盘和资金流改善，对SOL形成明显支撑。
cnib-v1-0157,ETH,long,62,70,L62,消息改善市场预期，对ETH形成偏强支撑。
cnib-v1-0158,ARC,neutral,12,70,N12,这里主要是名称撞车，与ARC走势关系很弱。
cnib-v1-0159,XRP,short,62,70,S62,整体看，快速下跌暴露卖压，对XRP短线偏空，影响有限。
cnib-v1-0160,ETH,long,72,70,L72,升级改善网络能力，对ETH基本面支撑较强。
cnib-v1-0161,SOL,long,62,70,L62,机构采用信号明确，对SOL需求预期支撑较强。
cnib-v1-0162,BNB,long,72,70,L72,机构采用信号明确，对BNB需求预期支撑较强。
cnib-v1-0163,POWER,short,55,70,S55,快速下跌暴露卖压，对POWER短线偏空。
cnib-v1-0164,BTC,neutral,5,70,N5,事件偏宏观背景，对BTC本身影响很有限。
cnib-v1-0165,PIPPIN,long,62,70,L62,空头拥挤提升反弹弹性，对PIPPIN短线偏多。
cnib-v1-0166,STO,long,62,70,L62,空头拥挤提升反弹弹性，对STO短线偏多。
cnib-v1-0167,CHR,long,62,70,L62,空头拥挤提升反弹弹性，对CHR短线偏多。
cnib-v1-0168,SXP,long,62,70,L62,空头拥挤提升反弹弹性，对SXP短线偏多。
cnib-v1-0169,AVL,long,62,70,L62,空头拥挤提升反弹弹性，对AVL短线偏多。
cnib-v1-0170,BTC,neutral,5,70,N5,事件偏宏观背景，对BTC本身影响很有限。
cnib-v1-0171,BASED,short,42,68,S42,快速下跌暴露卖压，对BASED短线偏空。
cnib-v1-0172,TRUST,long,72,68,L72,生态进展提升可见度，对TRUST有中等支撑。
cnib-v1-0173,BTC,short,52,65,S52,监管和法律叙事转弱，压制BTC风险偏好。
cnib-v1-0174,BNB,short,42,65,S42,整体看，安全风险升温，压制BNB市场情绪，影响有限。
cnib-v1-0175,TRUMP,long,72,65,L72,政治叙事升温，给TRUMP带来较强情绪支撑。
cnib-v1-0176,ZEC,long,52,65,L52,监管认可度抬升，给ZEC带来较强正面重估。
cnib-v1-0177,BNB,short,55,65,S55,下架削弱流动性和信心，对BNB压力很重。
cnib-v1-0178,TRUST,long,72,65,L72,监管认可度抬升，给TRUST带来较强正面重估。
cnib-v1-0179,ETH,long,52,65,L52,升级改善网络能力，对ETH基本面支撑较强。
cnib-v1-0180,BNB,long,55,65,L55,消息改善市场预期，对BNB形成偏强支撑。
cnib-v1-0181,TRUMP,long,72,65,L72,政治叙事升温，给TRUMP带来较强情绪支撑。
cnib-v1-0182,BTC,long,55,65,L55,ETF相关进展改善预期，对BTC形成中等支撑。
cnib-v1-0183,ETH,long,72,62,L72,监管认可度抬升，给ETH带来较强正面重估。
cnib-v1-0184,AAVE,long,52,62,L52,生态进展提升可见度，对AAVE有中等支撑。
cnib-v1-0185,ETH,long,52,62,L52,买盘和资金流改善，对ETH形成明显支撑。
cnib-v1-0186,ETH,long,52,62,L52,升级改善网络能力，对ETH基本面支撑较强。
cnib-v1-0187,NEAR,long,52,62,L52,生态进展提升可见度，对NEAR有中等支撑。
cnib-v1-0188,UFC-CUR1-JOS52-2026-04-11,short,42,62,S42,整体看，大额资金在高位卖出，结果预期明显转弱，影响有限。
cnib-v1-0189,BR,neutral,5,60,N5,整体看，新闻主线不在BR，交易影响更偏边缘，影响有限。
cnib-v1-0190,ETH,neutral,38,60,N38,老钱包转入质押略偏正面，但实际影响不大。
cnib-v1-0191,TRUMP,long,62,60,L62,监管认可度抬升，给TRUMP带来较强正面重估。
cnib-v1-0192,US,neutral,5,60,N5,整体看，事件偏宏观背景，对US本身影响很有限，影响有限。
cnib-v1-0193,LINK,long,55,60,L55,机构采用信号明确，对LINK需求预期支撑较强。
cnib-v1-0194,RAVE,short,30,60,S30,整体看，快速下跌暴露卖压，对RAVE短线偏空，影响有限。
cnib-v1-0195,LUCAS,short,42,60,S42,关键账户卖出释放压力，对LUCAS短线不利。
cnib-v1-0196,LICK,short,35,60,S35,整体看，大额卖出放大供给压力，对LICK偏空，影响有限。
cnib-v1-0197,UNI,long,70,95,L70,BlackRock BUIDL合作带来机构叙事和流动性预期，对UNI短线偏利好。
cnib-v1-0198,BTC,short,92,96,S92,耶路撒冷防空警报属于突发地缘风险，避险冲击下BTC短线偏空。
cnib-v1-0199,GIGGLE,long,70,95,L70,币安新增交易入口会放大GIGGLE曝光和流动性，短线偏利好。
cnib-v1-0200,OKB,long,70,95,L70,纽交所母公司投资OKX提升交易所认可度，对OKB情绪面偏利好。
